Team,Conference,Record,2nd_Order_Wins_Diff,S&P_Plus_Pctile,S&P_Plus_Rtg,S&P_Plus_Rk,Off_S&P_Plus,Off_S&P_Plus_Rk,Def_S&P_Plus,Def_S&P_Plus_Rk,ST_S&P_Plus,ST_S&P_Plus_Rk,SOS,SOS_Rk
Alabama,SEC,14-1,13.8 (-0.2),99.5%,36.3,1,50.9,2,14.2,7,-0.4,85,0.795,11
Georgia,SEC,11-3,11.5 (0.5),99.0%,32.9,2,45.9,3,14.2,8,1.3,20,0.794,9
Clemson,ACC,15-0,14.0 (-1.0),98.2%,29.7,3,43.0,5,12.6,3,-0.6,95,0.912,63
Oklahoma,Big 12,12-2,11.7 (-0.3),95.9%,24.9,4,54.0,1,30.0,84,1.0,32,0.909,61
LSU,SEC,10-3,9.1 (-0.9),95.4%,24.2,5,34.8,30,13.4,5,2.7,3,0.750,1
Ohio State,Big Ten,13-1,10.9 (-2.1),95.3%,24.1,6,44.4,4,21.2,26,0.8,38,0.899,51
Auburn,SEC,8-5,8.2 (0.2),94.9%,23.6,7,36.9,19,14.1,6,0.7,43,0.761,3
Mississippi State,SEC,8-5,8.7 (0.7),94.6%,23.2,8,34.6,32,10.5,1,-0.9,101,0.791,8
Florida,SEC,10-3,9.7 (-0.3),94.4%,23.0,9,38.6,15,17.4,17,1.7,11,0.813,14
Michigan,Big Ten,10-3,10.3 (0.3),93.6%,22.0,10,35.5,25,14.3,9,0.9,36,0.867,26
Texas A&M,SEC,9-4,9.0 (0.0),93.2%,21.6,11,40.3,10,19.8,21,1.1,28,0.761,4
Missouri,SEC,8-5,9.3 (1.3),92.4%,20.8,12,41.3,8,21.0,25,0.5,51,0.794,10
Notre Dame,Ind,12-1,10.3 (-1.7),92.3%,20.7,13,34.6,33,14.5,10,0.6,45,0.905,55
Washington,Pac-12,10-4,10.9 (0.9),91.4%,19.9,14,34.5,34,12.7,4,-1.9,117,0.880,34
Penn State,Big Ten,9-4,9.7 (0.7),90.4%,19.0,15,33.9,36,14.6,11,-0.3,77,0.868,29
Fresno State,MWC,12-2,12.1 (0.1),88.1%,17.4,16,33.5,37,15.5,12,-0.6,94,0.944,91
Utah,Pac-12,9-5,9.2 (0.2),87.3%,16.8,17,31.9,45,18.1,19,3.0,1,0.887,38
Central Florida,AAC,12-1,10.6 (-1.4),86.7%,16.5,18,39.9,11,25.2,47,1.8,10,0.954,107
Wisconsin,Big Ten,8-5,8.7 (0.7),85.0%,15.5,19,39.3,12,21.6,29,-2.3,125,0.899,50
South Carolina,SEC,7-6,5.8 (-1.2),84.0%,14.9,20,36.4,21,23.6,40,2.0,7,0.788,7
Utah State,MWC,11-2,10.0 (-1.0),82.7%,14.2,21,36.3,22,22.5,35,0.4,55,0.956,110
Oklahoma State,Big 12,7-6,7.6 (0.6),82.1%,13.8,22,42.0,7,28.9,71,0.7,42,0.892,46
Iowa,Big Ten,9-4,8.8 (-0.2),81.0%,13.3,23,30.3,54,17.7,18,0.7,44,0.911,62
West Virginia,Big 12,8-4,7.5 (-0.5),80.8%,13.2,24,41.1,9,29.2,76,1.3,18,0.888,39
Kentucky,SEC,10-3,7.8 (-2.2),80.5%,13.1,25,29.5,64,16.3,15,-0.1,72,0.806,12
Stanford,Pac-12,9-4,8.4 (-0.6),80.4%,13.0,26,35.4,26,24.3,43,1.8,8,0.877,33
Miami-FL,ACC,7-6,8.8 (1.8),79.8%,12.7,27,29.3,66,15.8,14,-0.8,97,0.922,72
Boise State,MWC,10-3,8.9 (-1.1),78.8%,12.2,28,37.1,18,22.8,38,-2.0,121,0.905,56
Appalachian State,Sun Belt,11-2,11.0 (0.0),78.0%,11.9,29,30.0,56,19.0,20,1.0,34,0.961,116
Michigan State,Big Ten,7-6,7.5 (0.5),77.1%,11.5,30,22.0,112,10.8,2,0.3,61,0.867,28
Washington State,Pac-12,11-2,9.7 (-1.3),76.8%,11.3,31,38.8,13,27.3,59,-0.2,74,0.903,53
Texas,Big 12,10-4,8.3 (-1.7),76.6%,11.3,32,35.3,27,24.4,44,0.4,59,0.865,24
