Team,Success_Rt,Success_Rt_Rk,IsoPPP,IsoPPP_Rk,Adj_Run_Rate,Adj_Run_Rate_Rk,Adj_Pace,Adj_Pace_Rk
Oklahoma,54.9%,2,1.46,1,52.2%,58,0.3,66
Alabama,56.2%,1,1.36,6,46.9%,93,1.2,85
Georgia,50.5%,5,1.29,17,55.7%,35,1.9,108
Ohio State,49.2%,8,1.18,61,46.3%,101,-1.1,43
Clemson,49.5%,7,1.25,28,45.0%,109,-1.2,41
Ole Miss,48.6%,10,1.36,7,41.4%,122,-1.9,28
Oklahoma State,46.3%,23,1.27,24,46.6%,96,-3.8,7
Missouri,48.7%,9,1.14,86,50.3%,71,-1.6,31
West Virginia,47.8%,15,1.36,8,43.1%,120,-0.7,48
Texas A&M,45.9%,24,1.18,60,49.9%,74,1.8,104
Central Florida,46.7%,20,1.28,22,56.7%,28,-6.4,1
Wisconsin,50.8%,4,1.08,110,60.2%,16,1.2,87
Washington State,47.9%,13,1.13,94,27.2%,130,5.1,130
Memphis,47.0%,19,1.37,3,56.1%,32,-2.6,18
Florida,47.6%,18,1.17,70,55.2%,38,-0.1,61
Ohio,51.0%,3,1.24,30,57.9%,24,2.8,120
Purdue,43.6%,46,1.31,10,37.8%,128,1.7,102
Boise State,48.0%,12,1.11,101,47.5%,89,1.3,90
Auburn,42.3%,65,1.16,77,47.9%,87,-1.3,39
Houston,44.4%,37,1.37,4,49.5%,77,-5.9,2
South Carolina,43.0%,59,1.23,35,47.9%,86,-2.8,11
Utah State,48.6%,11,1.30,14,43.2%,119,-2.7,14
Texas Tech,47.9%,14,1.10,106,40.4%,125,-1.5,35
Vanderbilt,43.5%,47,1.29,16,46.6%,97,3.6,126
Michigan,45.4%,28,1.14,87,57.0%,25,3.2,123
Stanford,43.4%,48,1.26,26,43.6%,116,4.7,129
Texas,45.3%,31,1.06,115,50.8%,68,0.6,70
Toledo,45.1%,33,1.25,27,53.5%,48,-1.3,40
NC State,46.7%,20,1.13,89,46.1%,103,1.8,103
LSU,40.6%,87,1.14,85,55.5%,36,-0.2,56
Oregon,43.4%,49,1.16,75,51.6%,62,-2.8,12
Mississippi State,45.4%,30,1.16,76,56.3%,30,2.2,113
Notre Dame,43.1%,55,1.22,39,51.6%,64,-2.1,25
Washington,45.4%,29,1.12,96,55.3%,37,1.9,106
Arizona State,43.8%,44,1.16,73,52.4%,55,-0.1,59
Penn State,43.1%,56,1.18,57,53.6%,47,-2.1,22
Fresno State,47.6%,17,1.17,71,45.5%,105,2.1,111
Tennessee,38.4%,106,1.28,21,54.1%,44,3.1,122
Baylor,45.9%,25,1.17,68,47.6%,88,0.9,77
Georgia Tech,49.7%,6,1.07,114,83.2%,3,-0.9,44
Virginia Tech,43.3%,51,1.19,55,51.5%,66,-0.7,46
Nebraska,47.7%,16,1.15,78,49.5%,78,-2.3,20
Arizona,41.2%,78,1.28,20,53.5%,49,-2.7,16
Syracuse,43.9%,41,1.18,62,50.0%,73,-3.5,8
Utah,44.0%,40,1.11,104,52.2%,57,-0.3,54
USC,42.0%,71,1.20,50,46.4%,99,1.5,97
Buffalo,43.8%,44,1.23,32,53.9%,45,0.2,65
Wake Forest,42.1%,70,1.07,113,51.7%,61,-5.6,3
Florida Atlantic,43.0%,58,1.25,29,58.8%,22,-3.9,6
UCLA,41.7%,73,1.13,91,50.9%,67,-2.0,27
UNLV,41.5%,76,1.13,92,59.2%,21,-2.1,21
Duke,41.6%,75,1.20,44,44.7%,110,-2.1,23
UL-Lafayette,43.2%,53,1.36,5,56.7%,27,-0.1,60
Iowa,40.9%,84,1.12,99,50.4%,70,2.8,121
Indiana,43.9%,42,1.02,123,43.3%,117,-1.4,38
Appalachian State,42.7%,61,1.29,15,59.5%,19,0.8,74
Arkansas State,44.7%,35,1.17,69,48.9%,82,-1.1,42
North Carolina,41.1%,80,1.28,19,47.4%,90,-1.8,30
Iowa State,42.1%,69,1.23,36,52.6%,52,1.4,93
Western Michigan,44.7%,36,1.13,88,56.0%,33,1.0,79
Arkansas,37.7%,111,1.13,90,51.6%,63,0.9,78
Virginia,44.4%,38,1.12,98,52.0%,59,3.5,125
Hawaii,44.8%,34,1.21,42,39.6%,126,2.0,109
Kentucky,42.8%,60,1.05,118,59.9%,17,1.5,98
Army,46.4%,22,0.92,130,87.4%,1,1.1,81
Miami-FL,37.9%,109,1.21,41,52.3%,56,1.1,84
North Texas,44.1%,39,1.23,33,43.3%,118,1.1,82
Air Force,45.8%,27,1.03,120,77.3%,5,-2.1,26
South Florida,42.4%,64,1.22,38,51.8%,60,-3.3,10
Illinois,43.1%,57,1.18,56,56.6%,29,-1.4,36
Pittsburgh,41.8%,72,1.21,40,61.2%,11,3.6,127
BYU,43.3%,52,1.10,107,51.6%,65,1.9,105
Oregon State,41.0%,83,1.19,52,46.6%,95,-1.5,33
Cincinnati,43.8%,43,1.20,49,56.2%,31,-0.2,57
Minnesota,42.6%,63,1.11,102,55.8%,34,2.3,116
Temple,43.3%,50,1.17,67,49.1%,80,-1.4,37
Coastal Carolina,45.8%,26,1.14,84,60.8%,13,2.8,119
Georgia Southern,41.1%,81,1.19,54,80.7%,4,2.3,115
Massachusetts,43.2%,54,1.28,23,44.6%,111,-0.7,47
Maryland,38.4%,105,1.42,2,62.0%,7,1.0,80
Colorado State,40.4%,89,1.13,93,41.6%,121,1.4,92
Navy,39.1%,101,1.08,112,84.7%,2,-0.5,52
Nevada,40.4%,90,1.26,25,44.4%,113,0.4,67
Kansas State,39.7%,96,1.11,103,59.6%,18,1.7,101
Colorado,38.0%,108,1.23,31,45.4%,106,-0.6,50
Florida International,41.0%,82,1.30,13,52.9%,50,2.2,114
UL-Monroe,45.3%,32,1.23,34,48.7%,83,-0.2,58
Boston College,37.8%,110,1.21,43,61.1%,12,-4.5,4
Troy,39.8%,94,1.30,12,52.6%,53,1.5,96
Miami-OH,39.4%,98,1.20,46,50.2%,72,1.3,91
TCU,41.2%,77,1.09,109,52.6%,54,1.2,86
San Diego State,38.1%,107,1.20,48,61.3%,9,1.5,99
Eastern Michigan,39.7%,95,1.20,47,50.4%,69,0.7,72
Northwestern,38.7%,103,1.03,122,46.5%,98,-0.6,51
Wyoming,37.0%,117,1.12,97,61.6%,8,0.8,73
Liberty,41.7%,74,1.13,95,48.2%,85,-2.4,19
Florida State,33.7%,124,1.31,11,46.4%,100,-0.6,49
Old Dominion,42.6%,62,1.17,72,41.0%,123,-0.9,45
Connecticut,40.2%,91,1.14,83,56.8%,26,0.6,69
Bowling Green,39.2%,100,1.15,81,47.4%,91,0.8,75
South Alabama,38.7%,104,1.17,65,58.1%,23,0.1,63
Louisville,38.9%,102,1.10,108,48.3%,84,1.9,107
Middle Tennessee,40.0%,93,1.23,37,44.3%,114,0.9,76
UAB,42.1%,68,1.20,45,60.3%,15,1.3,89
SMU,37.0%,118,1.29,18,44.5%,112,-1.5,34
